popul,TVnews,selfLR,ClinLR,DoleLR,PID,age,educ,income,vote,logpopul
0.0,7.0,7.0,1.0,6.0,6.0,36.0,3.0,1.0,1.0,-2.302585092994045
190.0,1.0,3.0,3.0,5.0,1.0,20.0,4.0,1.0,0.0,5.247550249494384
31.0,7.0,2.0,2.0,6.0,1.0,24.0,6.0,1.0,0.0,3.4372078191851885
83.0,4.0,3.0,4.0,5.0,1.0,28.0,6.0,1.0,0.0,4.420044701861403
640.0,7.0,5.0,6.0,4.0,0.0,68.0,6.0,1.0,0.0,6.461624414147958
110.0,3.0,3.0,4.0,6.0,1.0,21.0,4.0,1.0,0.0,4.701389043728634
100.0,7.0,5.0,6.0,4.0,1.0,77.0,4.0,1.0,0.0,4.606169686321175
31.0,1.0,5.0,4.0,5.0,4.0,21.0,4.0,1.0,0.0,3.4372078191851885
180.0,7.0,4.0,6.0,3.0,3.0,31.0,4.0,1.0,0.0,5.19351225218191
2800.0,0.0,3.0,3.0,7.0,0.0,39.0,3.0,1.0,0.0,7.937410409811269
1600.0,0.0,3.0,2.0,4.0,4.0,26.0,2.0,1.0,0.0,7.377821406274829
330.0,5.0,4.0,3.0,6.0,1.0,31.0,4.0,1.0,0.0,5.799395638859147
190.0,2.0,5.0,4.0,6.0,5.0,22.0,4.0,1.0,1.0,5.247550249494384
100.0,7.0,4.0,4.0,6.0,0.0,42.0,5.0,1.0,0.0,4.606169686321175
1000.0,7.0,5.0,7.0,4.0,0.0,74.0,1.0,1.0,0.0,6.90785527398247
0.0,7.0,6.0,7.0,5.0,0.0,62.0,3.0,1.0,0.0,-2.302585092994045
130.0,7.0,4.0,4.0,5.0,1.0,58.0,3.0,1.0,0.0,4.86830338551846
5.0,5.0,3.0,3.0,6.0,1.0,24.0,6.0,1.0,0.0,1.62924053973028
33.0,7.0,6.0,2.0,6.0,5.0,51.0,4.0,1.0,1.0,3.4995332823830174
19.0,2.0,2.0,1.0,4.0,0.0,36.0,3.0,2.0,0.0,2.9496883350525844
74.0,7.0,4.0,4.0,7.0,2.0,88.0,2.0,2.0,0.0,4.3054155323020415
190.0,0.0,2.0,4.0,6.0,2.0,20.0,4.0,2.0,0.0,5.247550249494384
12.0,3.0,4.0,6.0,3.0,2.0,27.0,3.0,2.0,0.0,2.4932054526026954
0.0,7.0,6.0,1.0,6.0,6.0,44.0,4.0,2.0,1.0,-2.302585092994045
